Prompt,Model Response
"Context: BML-190 and Temozolomide have a Loewe score of: -0.0841.  The drug combination to analyze is: Temozolomide, BML-190 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.", _______________________________________________ Sent through the Full Disclosure mailing list https://nmap.org/mailman/listinfo/fulldisclosure Web Archives & RSS: http://seclists.org/fulldisclosure/ By Date By Thread Current thread: BML-190 (B) - (C) 2018-09-27T00:00:00Z - (D) 2018-09-27T00:00:00Z - (E) 2018-09-27T
"Context: Carbamazepine and Temozolomide have a Loewe score of: -0.1411.  The drug combination to analyze is: Temozolomide, Carbamazepine Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.","  The drug combination to analyze is:  Temozolomide, Carbamazepine Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is:  Temozolomide, Carbamazepine Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is"
"Context: Enoxacin and Temozolomide have a Loewe score of: -0.1491.  The drug combination to analyze is: Temozolomide, Enoxacin Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.", _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________
"Context: Halofantrine and Ethinyl estradiol have a Loewe score of: 0.0. Halofantrine and Fluorouracil have a Loewe score of: 0.0. Fluorouracil and Ethinyl estradiol have a Loewe score of: 0.0217.  The drug combination to analyze is: Fluorouracil, Ethinyl estradiol, Halofantrine Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.",  The drug combination to analyze is: ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________ ______________________________________________
"Context: Foscarnet sodium and Temozolomide have a Loewe score of: -0.012.  The drug combination to analyze is: Temozolomide, Foscarnet sodium Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.","  The drug combination to analyze is: Temozolomide, Foscarnet sodium Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: Temozolomide, Foscarnet sodium Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: Temozolom"
"Context: Vismodegib and Momelotinib have a Loewe score of: -0.0199. Cabozantinib and Momelotinib have a Loewe score of: -0.1126. Cabozantinib and Vismodegib have a Loewe score of: -0.0001.  The drug combination to analyze is: Cabozantinib, Momelotinib, Vismodegib Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.",                                                                                                    
"Context: Bilobalide and Temozolomide have a Loewe score of: -0.073.  The drug combination to analyze is: Bilobalide, Temozolomide Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.", _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________ _______________________________________________
"Context: Crizotinib and SB-218078 have a Loewe score of: -0.1522. Cabozantinib and SB-218078 have a Loewe score of: -0.1061. Cabozantinib and Crizotinib have a Loewe score of: -0.1685.  The drug combination to analyze is: Cabozantinib, Crizotinib, SB-218078 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.",                                                                                                    
"Context: Onx-0914 and Temozolomide have a Loewe score of: -0.62.  The drug combination to analyze is: Temozolomide, Onx-0914 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.", _______________________________________________ Sent through the Full Disclosure mailing list https://nmap.org/mailman/listinfo/fulldisclosure Web Archives & RSS: http://seclists.org/fulldisclosure/ By Date By Thread Current thread: Onx-0914 and Temozolomide have a Loewe score of: -0.62. _______________________________________________ Sent through the Full Disclosure mailing list https://nmap.org/mailman/listinfo/full
"Context: Enmd-2076 and QS-11 have a Loewe score of: -0.3459. Enmd-2076 and Crizotinib have a Loewe score of: -0.6422. Crizotinib and QS-11 have a Loewe score of: 0.0418.  The drug combination to analyze is: Enmd-2076, QS-11, Crizotinib Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.",                                                                                                    
"Context: GW-2580 and FH535 have a Loewe score of: -0.2904. SNS-314 and GW-2580 have a Loewe score of: 0.221. Selisistat and GW-2580 have a Loewe score of: -0.6147. SNS-314 and FH535 have a Loewe score of: -0.146. Selisistat and FH535 have a Loewe score of: -0.063. Selisistat and SNS-314 have a Loewe score of: -0.1132.  The drug combination to analyze is: Selisistat, SNS-314, GW-2580, FH535 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word."," The drug combination to analyze is: Selisistat, SNS-314, GW-2580, FH535 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word. The drug combination to analyze is: Selisistat, SNS-314, GW-2580, FH535 Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word."
"Context: Fingolimod and GW0742 have a Loewe score of: -0.5483.  The drug combination to analyze is: GW0742, Fingolimod Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word."," The drug combination to analyze is: GW0742, Fingolimod Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word. The drug combination to analyze is: GW0742, Fingolimod Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word. The drug combination to analyze is: GW0742, Fingolimod Given the"
"Context: IPA-3 and Tie2 kinase inhibitor have a Loewe score of: 0.1153.  The drug combination to analyze is: IPA-3, Tie2 kinase inhibitor Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.","  The drug combination to analyze is: IPA-3, Tie2 kinase inhibitor Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: IPA-3, Tie2 kinase inhibitor Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word.  The drug combination to analyze is: IPA-3, Tie2 kinase"
"Context: Estramustine Phosphate Sodium and Etoposide have a Loewe score of: -0.5109. Estramustine Phosphate Sodium and Paclitaxel have a Loewe score of: -0.3034. Estramustine Phosphate Sodium and Mitoxantrone have a Loewe score of: -0.5167. Estramustine Phosphate Sodium and Docetaxel have a Loewe score of: -0.5194. Paclitaxel and Etoposide have a Loewe score of: -0.289. Etoposide and Mitoxantrone have a Loewe score of: -0.1196. Docetaxel and Etoposide have a Loewe score of: -0.1661. Paclitaxel and Mitoxantrone have a Loewe score of: -0.0765. Paclitaxel and Docetaxel have a Loewe score of: -0.6862. Docetaxel and Mitoxantrone have a Loewe score of: -0.0854.  The drug combination to analyze is: Docetaxel, Etoposide, Mitoxantrone, Estramustine Phosphate Sodium, Paclitaxel Given the following set of drugs, decide if the drug combination is synergistic, antagonistic, or additive in one word."," The drug combination to analyze is: Etoposide, Mitoxantrone, Etoposide, Etoposide, Etoposide, Etoposide, Etoposide, Etoposide, Etoposide, Etoposide, Etoposide, Etoposide, Etoposide, Etoposide, Etoposide, Etoposide, Etoposide, Etoposide, Etopos"
