drugNameA,drugNameB,idDrugA,idDrugB,comboId,bliss,loewe,hsa,zip
Lapatinib,MK-8776,52,1,12543,-1.258,-0.2988,-0.3583,23.8255
Lapatinib,Erlotinib,52,34,3218,-1.1097,-0.1197,-0.1197,23.76
Vinblastine,MK-8776,103,1,18087,-0.2518,0.5204,-0.236,18.3098
Fluorouracil,Vorinostat,41,106,3164,-1.1739,-0.1872,-0.484,17.7934
Lapatinib,Erlotinib,52,34,11963,-1.038,-0.1204,-0.2398,17.74
Vorinostat,SN 38 Lactone,106,87,8811,-1.138,-0.3983,-0.3983,17.715
MK-4541,Temozolomide,74,92,14495,-0.9174,0.0433,-0.0835,17.7037
Lapatinib,Erlotinib,52,34,14878,-1.0615,-0.0724,-0.2659,17.6846
Lapatinib,Erlotinib,52,34,886,-1.1591,-0.1717,-0.3431,17.674
Vorinostat,Dinaciclib,106,31,13463,-1.2253,-0.3994,-0.3996,17.6556
MK-4541,Vinblastine,74,103,3384,-1.1639,-0.1927,-0.1956,17.6003
Vorinostat,MK-8776,106,1,6464,-0.8495,0.1354,-0.1745,14.688
Vinblastine,MK-2206,103,68,8185,-0.2328,0.5132,-0.1239,12.1379
Etoposide,Lapatinib,36,52,822,-0.4642,0.0495,-0.2656,12.1313
Vinblastine,Lapatinib,103,52,2936,-0.073,0.6907,-0.0387,12.1278
Vorinostat,Temozolomide,106,92,6482,-0.3058,0.363,-0.1742,12.0573
Vorinostat,Sorafenib,106,88,19306,-0.4261,0.3229,-0.2719,12.0525
Vinblastine,MK-8776,103,1,11091,-0.6289,0.1007,-0.5168,12.0158
Vinblastine,MK-2206,103,68,16930,-0.2744,0.2533,-0.2005,11.9834
Vinblastine,Vorinostat,103,106,8173,-0.3141,0.4265,-0.2106,11.9752
Vinorelbine,Erlotinib,105,34,6450,-0.3923,0.3796,-0.192,11.9472
Vinorelbine,Vorinostat,105,106,6444,-0.3414,0.4307,-0.144,11.9447
Lapatinib,Erlotinib,52,34,18376,-0.6447,-0.0146,-0.242,11.9387
Doxorubicin,Lapatinib,33,52,7203,-0.3536,0.3916,-0.088,11.926
Vinblastine,Vorinostat,103,106,6424,-0.3876,0.3942,-0.1544,11.882
Methotrexate,Erlotinib,63,34,13768,-0.6552,0.1099,-0.3881,11.8801
Vorinostat,Lapatinib,106,52,4140,-0.8442,0.0355,-0.4176,11.763
Etoposide,Vorinostat,36,106,8392,-0.8794,0.0042,-0.3237,11.7582
MK-2206,Geldanamycin,68,44,19636,-0.7541,0.0442,-0.1783,11.7564
Lapatinib,Erlotinib,52,34,13712,-0.8362,-0.0785,-0.2383,11.7421
