drugNameA,drugNameB,idDrugA,idDrugB,comboId,bliss,loewe,hsa,zip
GSK2334470,Sepantronium Bromide,172,184,378019,-1.0532,-0.2747,-0.3289,15.7045
BRD-7389,GSK2334470,165,172,377823,-1.2359,-0.3293,-0.3972,15.6079
Crizotinib,GSK2334470,168,172,377912,-1.2283,-0.3449,-0.3449,15.5637
GSK2334470,Zocor,172,182,377156,-1.0443,-0.2759,-0.2481,12.8698
GSK2334470,IMD-0354,172,174,378870,-1.1451,-0.5222,-0.5198,10.2545
GSK2334470,Sepantronium Bromide,172,184,376319,-1.0084,-0.3792,-0.3792,10.2507
Trametinib,MK-2206,131,68,376737,-1.0902,-0.3292,-0.3402,10.218
MK2a Inhibitor,Piperlongumine,166,180,377001,-1.0785,-0.3331,-0.3815,10.2079
Crizotinib,GSK2334470,168,172,377051,-1.1517,-0.2281,-0.3541,10.1681
Dasatinib,Piperlongumine,24,180,379031,-1.2688,-0.4664,-0.4867,10.1529
Alpelisib,GSK2334470,130,172,377560,-1.3096,-0.3669,-0.5122,10.1306
MK2a Inhibitor,GSK2334470,166,172,378715,-1.1981,-0.412,-0.4008,10.1183
Afatinib,GSK2334470,133,172,377653,-1.2178,-0.3566,-0.3893,10.1077
Alpelisib,GSK2334470,130,172,378421,-1.1225,-0.264,-0.2547,10.0874
BRD-7389,GSK2334470,165,172,378684,-1.0901,-0.1823,-0.1798,10.0654
CREBi1,GSK2334470,167,172,377884,-1.1723,-0.2888,-0.2888,10.0642
CREBi1,GSK2334470,167,172,378745,-1.1731,-0.2394,-0.2305,10.0451
GSK2334470,Thapsigargin,172,183,376318,-1.2967,-0.399,-0.3827,10.0438
Afatinib,GSK2334470,133,172,378514,-1.1244,-0.1885,-0.1898,10.0407
AZD-7762,Piperlongumine,119,180,375923,-0.7438,-0.6331,-0.6331,7.9098
Zocor,Vorinostat,182,106,376437,-1.0765,-0.4065,-0.6178,7.6785
Venetoclax,CREBi1,163,167,376889,-0.5416,-0.0187,-0.0953,7.6284
Venetoclax,Adavosertib,163,2,376908,-0.9706,-0.3565,-0.4001,7.5682
Venetoclax,Foretinib,163,171,376893,-0.7889,-0.1337,-0.1581,7.5373
Venetoclax,Foretinib,163,171,377754,-1.0997,-0.3757,-0.3757,7.4023
Fluorouracil,GSK2334470,41,172,376508,-0.9429,-0.1214,-0.0995,7.3365
Venetoclax,Alpelisib,163,130,377741,-1.1156,-0.2551,-0.2551,7.3179
Carfilzomib,Sepantronium Bromide,110,184,376606,-0.5651,-0.4293,-0.4984,5.2677
Pevonedistat,PF-431396,176,179,378943,-0.7643,-0.2636,-0.477,5.1406
Adavosertib,Zocor,2,182,379013,-0.6825,-0.4146,-0.4552,5.0794
Piperlongumine,Sepantronium Bromide,180,184,377268,-0.9726,-0.8841,-0.8841,5.0341
GSK2334470,SB-225002,172,181,377155,-0.6175,-0.1664,-0.2732,4.9742
Pemetrexed,Zocor,77,182,376574,-0.9082,-0.3127,-0.4892,4.9496
Adavosertib,MK-2206,2,68,379044,-1.0951,-0.8077,-0.8111,4.9203
BI-2536,MK-2206,164,68,376946,-1.0471,-0.4876,-0.4925,4.883
IMD-0354,Alisertib,174,177,376349,-0.9635,-0.2184,-0.4751,4.8685
Crizotinib,Zocor,168,182,376223,-0.951,-0.2469,-0.4587,4.8661
Alvespimycin,Venetoclax,162,163,378567,-0.9334,-0.4838,-0.4818,4.8649
Crizotinib,Gemcitabine,168,45,377067,-0.8062,-0.2549,-0.2833,4.8585
GSK2334470,Gemcitabine,172,45,377160,-0.791,-0.2271,-0.268,4.8574
MK-2206,Pevonedistat,68,176,378271,-1.1244,-0.6369,-0.6625,4.8539
Adavosertib,MK-2206,2,68,377322,-1.009,-0.3819,-0.4485,4.8132
GSK2334470,Adavosertib,172,2,378020,-1.0637,-0.4765,-0.5032,4.8038
Venetoclax,Gemcitabine,163,45,378632,-0.9943,-0.5001,-0.4984,4.801
GSK2334470,Sepantronium Bromide,172,184,378880,-0.8883,-0.3491,-0.342,4.7984
GSK2334470,IMD-0354,172,174,377148,-0.9555,-0.2446,-0.3522,4.7958
GSK2334470,Gemcitabine,172,45,378882,-1.1314,-0.6428,-0.6355,4.794
AZD-8055,GSK2334470,116,172,377491,-1.0806,-0.5058,-0.5214,4.7933
Piperlongumine,Vorinostat,180,106,376424,-1.2467,-0.5249,-0.7157,4.7875
Foretinib,MK-2206,171,68,377141,-0.9656,-0.2964,-0.3346,4.7833
Dasatinib,Vorinostat,24,106,376456,-1.1503,-0.4516,-0.5383,4.7815
Crizotinib,Sepantronium Bromide,168,184,378785,-0.7913,-0.245,-0.245,4.7752
Foretinib,MK-2206,171,68,376302,-1.1922,-0.6114,-0.6114,4.7588
GSK2334470,PF-431396,172,179,377153,-0.9573,-0.136,-0.2898,4.7581
